;year_month;uf;product;unit;volume;created_at
206;2013-03-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);7716.0;2022-09-12 23:11:30.887749
207;2013-04-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);8872.0;2022-09-12 23:11:30.887749
208;2013-05-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);9540.0;2022-09-12 23:11:30.887749
209;2013-06-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);10275.0;2022-09-12 23:11:30.887749
210;2013-07-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);11747.881;2022-09-12 23:11:30.887749
211;2013-08-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);13184.0;2022-09-12 23:11:30.887749
212;2013-09-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);13020.0;2022-09-12 23:11:30.887749
213;2013-10-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);15320.0;2022-09-12 23:11:30.887749
214;2013-11-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);14655.5;2022-09-12 23:11:30.887749
215;2013-12-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);13948.0;2022-09-12 23:11:30.887749
216;2013-01-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);71139.001;2022-09-12 23:11:30.887749
217;2013-02-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);65754.274;2022-09-12 23:11:30.887749
218;2013-03-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);74594.983;2022-09-12 23:11:30.887749
219;2013-04-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);78911.329;2022-09-12 23:11:30.887749
220;2013-05-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);82835.67;2022-09-12 23:11:30.887749
221;2013-06-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);83487.671;2022-09-12 23:11:30.887749
222;2013-07-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);86953.5;2022-09-12 23:11:30.887749
223;2013-08-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);92614.39;2022-09-12 23:11:30.887749
224;2013-09-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);90431.974;2022-09-12 23:11:30.887749
225;2013-10-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);98278.895;2022-09-12 23:11:30.887749
226;2013-11-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);94202.785;2022-09-12 23:11:30.887749
227;2013-12-01;RIO DE JANEIRO;ÓLEO DIESEL S-10;(m3);94732.917;2022-09-12 23:11:30.887749
228;2013-01-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);151757.57;2022-09-12 23:11:30.887749
229;2013-02-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);153253.221;2022-09-12 23:11:30.887749
230;2013-03-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);185821.01;2022-09-12 23:11:30.887749
231;2013-04-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);207449.331;2022-09-12 23:11:30.887749
232;2013-05-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);222614.972;2022-09-12 23:11:30.887749
233;2013-06-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);217736.003;2022-09-12 23:11:30.887749
234;2013-07-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);235476.41;2022-09-12 23:11:30.887749
235;2013-08-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);266501.288;2022-09-12 23:11:30.887749
236;2013-09-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);262685.886;2022-09-12 23:11:30.887749
237;2013-10-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);285876.211;2022-09-12 23:11:30.887749
238;2013-11-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);271734.768;2022-09-12 23:11:30.887749
239;2013-12-01;SÃO PAULO;ÓLEO DIESEL S-10;(m3);255230.24;2022-09-12 23:11:30.887749
